Year,USA GDP,World GDP,% in World GDP,Cum. Laureates
1960,0.5433,1.37041178116387,39.65,58
1961,0.5633,1.4256393959997902,39.51,60
1962,0.6051,1.52989746515421,39.55,62
1963,0.6386,1.64811542386436,38.75,62
1964,0.6858,1.80547947398545,37.98,64
1965,0.7437,1.96610405984762,37.83,67
1966,0.815,2.13310770910009,38.21,69
1967,0.8617,2.2707444494299103,37.95,71
1968,0.9425,2.45135247851948,38.45,74
1969,1.0199,2.70444499378929,37.71,76
1970,1.0733030000000001,2.96036493728917,36.26,79
1971,1.16485,3.27266854721471,35.59,80
1972,1.27911,3.77677064162582,33.87,87
1973,1.425376,4.608223910305379,30.93,87
1974,1.545243,5.314773901371058,29.07,88
1975,1.6849040000000002,5.919181354905571,28.47,92
1976,1.8734119999999999,6.43697037605275,29.1,98
1977,2.081826,7.2760220651413,28.61,101
1978,2.351599,8.582875420331709,27.4,105
1979,2.627334,9.969177792794651,26.35,108
1980,2.857307,11.223980066055,25.46,114
1981,3.207042,11.620148669558802,27.6,117
1982,3.343789,11.510803545282302,29.05,119
1983,3.634038,11.743334843784499,30.95,121
1984,4.0376129999999995,12.1761610285372,33.16,122
1985,4.338979,12.7894746991865,33.93,126
1986,4.579631,15.1137608540676,30.3,129
1987,4.855215,17.195758536007,28.23,131
1988,5.236438,19.237673063669103,27.22,135
1989,5.64158,20.0800890441698,28.1,139
1990,5.963144000000001,22.617017357659396,26.37,147
1991,6.158129,23.956076205290298,25.71,147
1992,6.520327,25.441447380083197,25.63,149
1993,6.858559,25.846567011416504,26.54,156
1994,7.287236,27.757967271985198,26.25,160
1995,7.639749,30.8712261763673,24.75,166
1996,8.073122,31.5545224575624,25.58,171
1997,8.577554463,31.439575534947,27.28,177
1998,9.062818211,31.378172632146303,28.88,181
1999,9.630664202,32.5435935726349,29.59,181
2000,10.252345464,33.588568226721804,30.52,186
2001,10.581821398999999,33.3967747175137,31.69,194
2002,10.936419054000002,34.6749585526184,31.54,199
2003,11.458243878,38.90366705312029,29.45,203
2004,12.213729147,43.8175124463384,27.87,210
2005,13.036640229000001,47.457731188389396,27.47,215
2006,13.814611414000002,51.447884999567606,26.85,221
2007,14.45185865,57.968090589081896,24.93,224
2008,14.712844084,63.6104223415697,23.13,227
2009,14.448933025,60.334303773856405,23.95,233
2010,14.992052727,66.04924879336839,22.7,236
2011,15.542581104000002,73.3914777487033,21.18,242
2012,16.197007349,75.08268893814821,21.57,247
2013,16.78484919,77.2361848773558,21.73,252
2014,17.521746534000002,79.3344389151461,22.09,255
2015,18.219297584,75.0517876908923,24.28,256
2016,18.707188235,76.16645462430691,24.56,257
